詹姆士芝士排骨	韩国料理	86	5	402	8.7	9	9.1	政通路189号特力时尚汇1楼16—B(五角场万达)	2002/1/3
黔香小厨	贵州菜	53	3	101	6.6	6.4	6.5	国济路30号	2002/1/4
红房子西点	面包甜点	30	3.5	167	7.3	6.6	6.4	邯郸路600号万达商业广场第一食品2楼	2002/1/5
旸谷串串香火锅&炝锅面	火锅	39	3	28	6.8	6.9	6.7	四平路1989号	2002/1/6
芝根芝底披萨	西餐	25	4.5	312	8.6	8.6	8.4	国痒路83号	2002/1/7
初叶恋茶	面包甜点	10	4.5	150	8.6	8.7	8.6	邯郸路399号	2002/1/8
丁丁猫面菜馆	小吃快餐	18	4	48	8	7.5	8.3	黑山路219号	2002/1/9
福大碗牛肉面	小吃快餐	9	3.5	8	6.9	7	6.9	政立路523号	2002/1/10
舢海渔庄	海鲜	106	5	148	9.1	9.3	9.2	国定东路327号	2002/1/11
星巴克	咖啡厅	32	3.5	10	7.6	7.4	7.3	国宾路58号3楼上海五角场万达商业广场万达影城	2002/1/12
圣富法式铁板烧	西餐	387	5	513	9.1	9.2	9.2	四平路1805号天益宾馆16楼	2002/1/13
星巴克	咖啡厅	35	4	380	7.8	8.1	7.7	淞沪路252-256号A1-24	2002/1/14
王明玉三村米线	小吃快餐	16	4	46	8	7.8	7.7	国定路506-4号	2002/1/15
蒋记品味麻辣捞汤	川菜	17	3.5	25	7.4	7	7.1	三门路店364号	2002/1/16
火辣辣农家湘菜馆	湘菜	26	3	12	7	6.9	7	翔殷路932号	2002/1/17
虾蟹缘	小吃快餐	120	3.5	260	7.9	7	7.6	政立路757号	2002/1/18
伦敦桥咖啡	咖啡厅	58	4.5	235	8.5	9	8.6	伟成路68号	2002/1/19
大蚝门	烧烤	34	3	8	6.7	6.4	6.6	国济路30号	2002/1/20
川福记	小吃快餐	32	4	972	8.1	7.6	7.6	国济路28号	2002/1/21
比奇雅韩国炸鸡比萨	韩国料理	49	5	249	9.3	9.2	9.3	政德东路133号Z18广场106-B	2002/1/22
盛井精致料理	日本菜	88	5	265	9.1	8.9	9.2	国顺路115号	2002/1/23
FrankLounge	其他	126	4.5	45	8.6	8.7	8.5	国庠路到底，江湾体育场内，聚高高尔夫俱乐部里面	2002/1/24
复旦大学江湾校区食堂	小吃快餐	9	3.5	34	7.3	7.3	7.2	淞沪路2005号复旦大学江湾校区内	2002/1/25
千岛湖渔村	湘菜	68	4	179	8.4	7.9	8.2	关山路98号	2002/1/26
甜港式甜品	面包甜点	24	4	112	7.6	7.7	7.7	杨浦区国权路333弄18-9号	2002/1/27
