,Date,Code,Name,TCLOSE,HIGH,LOW,TOPEN,LCLOSE,CHG,PCHG,TURNOVER,VOTURNOVER,VATURNOVER,TCAP,MCAP
0,2019-03-08,000837,秦川机床,4.86,5.21,4.8,5.11,5.2,-0.34,-0.065385,0.037499,21857394.0,110370792.44,3369782622.6,2832757249.32
1,2019-03-07,000837,秦川机床,5.2,5.33,5.11,5.16,5.19,0.01,0.0019270000000000001,0.046508,27108282.0,141003557.12,3605528732.0,3030933682.4
2,2019-03-06,000837,秦川机床,5.19,5.2,5.03,5.16,5.22,-0.03,-0.0057469999999999995,0.046164,26907743.0,138209471.29,3598595022.9,3025104963.78
3,2019-03-05,000837,秦川机床,5.22,5.35,5.1,5.25,5.24,-0.02,-0.0038169999999999996,0.056853,33137954.0,171962278.22,3619396150.2,3042591119.64
4,2019-03-04,000837,秦川机床,5.24,5.39,5.0,5.06,5.11,0.13,0.02544,0.06373999999999999,37152382.0,192120697.23,3633263568.4,3054248556.88
5,2019-03-01,000837,秦川机床,5.11,5.22,4.85,4.89,4.88,0.23,0.047131,0.053588,31235177.0,156892301.84,3543125350.1,2978475214.82
6,2019-02-28,000837,秦川机床,4.88,5.1,4.74,4.8,4.84,0.04,0.008264,0.044900999999999996,26171308.0,128067943.54,3383650040.8,2844414686.56
7,2019-02-27,000837,秦川机床,4.84,4.89,4.7,4.79,4.94,-0.1,-0.020243,0.05452,31778038.0,152390774.79,3355915204.4,2821099812.08
8,2019-02-26,000837,秦川机床,4.94,5.12,4.55,4.64,4.65,0.29,0.062366000000000005,0.08149200000000001,47499567.0,235972268.22,3425252295.4,2879386998.28
9,2019-02-25,000837,秦川机床,4.65,4.81,4.4,4.5,4.37,0.28,0.064073,0.042713,24896300.0,114069304.0,3224174731.5,2710354158.3
10,2019-02-22,000837,秦川机床,4.37,4.38,4.27,4.28,4.29,0.08,0.018648,0.013888000000000001,8095012.0,35086784.72,3030030876.7,2547150036.94
11,2019-02-21,000837,秦川机床,4.29,4.46,4.25,4.36,4.36,-0.07,-0.016055,0.01786,10409980.0,45409776.1,2974561203.9,2500520287.98
12,2019-02-20,000837,秦川机床,4.36,4.38,4.26,4.28,4.29,0.07,0.016316999999999998,0.014820999999999999,8638961.0,37366639.63,3023097167.6,2541321318.32
13,2019-02-19,000837,秦川机床,4.29,4.37,4.21,4.33,4.32,-0.03,-0.0069440000000000005,0.015655,9125100.0,39296255.0,2974561203.9,2500520287.98
14,2019-02-18,000837,秦川机床,4.32,4.35,4.2,4.21,4.19,0.13,0.031025999999999998,0.011031,6429801.0,27496333.22,2995362331.2,2518006443.84
15,2019-02-15,000837,秦川机床,4.19,4.22,4.16,4.18,4.19,0.0,0.0,0.0073160000000000005,4264201.0,17883171.2,2905224112.9,2442233101.78
16,2019-02-14,000837,秦川机床,4.19,4.19,4.12,4.17,4.17,0.02,0.004796,0.008227,4795301.0,19945480.19,2905224112.9,2442233101.78
17,2019-02-13,000837,秦川机床,4.17,4.19,4.08,4.09,4.1,0.07,0.017073,0.008737,5092262.0,21151039.54,2891356694.7,2430575664.54
18,2019-02-12,000837,秦川机床,4.1,4.12,4.01,4.04,4.05,0.05,0.012346,0.006392999999999999,3726262.0,15208417.72,2842820731.0,2389774634.2
19,2019-02-11,000837,秦川机床,4.05,4.05,3.96,3.97,3.96,0.09,0.022727,0.004567,2661978.0,10706500.78,2808152185.5,2360631041.1
20,2019-02-01,000837,秦川机床,3.96,3.97,3.9,3.9,3.9,0.06,0.015385,0.0037119999999999996,2163700.0,8537677.0,2745748803.6,2308172573.52
21,2019-01-31,000837,秦川机床,3.9,4.0,3.84,3.97,4.06,-0.16,-0.039409,0.012971,7560540.0,29728066.38,2704146549.0,2273200261.8
22,2019-01-30,000837,秦川机床,4.06,4.12,4.04,4.07,4.08,-0.02,-0.004902,0.003798,2214005.0,9030028.16,2815085894.6,2366459759.72
23,2019-01-29,000837,秦川机床,4.08,4.2,4.04,4.2,4.2,-0.12,-0.028571,0.007145,4164700.0,17070831.0,2828953312.8,2378117196.96
24,2019-01-28,000837,秦川机床,4.2,4.27,4.19,4.26,4.24,-0.04,-0.009434,0.003955,2305400.0,9754690.0,2912157822.0,2448061820.4
25,2019-01-25,000837,秦川机床,4.24,4.3,4.24,4.28,4.28,-0.04,-0.009346,0.0048449999999999995,2824000.0,12037081.0,2939892658.4,2471376694.88
26,2019-01-24,000837,秦川机床,4.28,4.3,4.23,4.27,4.27,0.01,0.002342,0.0055969999999999995,3262600.0,13930209.0,2967627494.8,2494691569.36
27,2019-01-23,000837,秦川机床,4.27,4.28,4.2,4.24,4.23,0.04,0.009455999999999999,0.0051129999999999995,2980501.0,12656608.24,2960693785.7,2488862850.74
28,2019-01-22,000837,秦川机床,4.23,4.33,4.22,4.3,4.31,-0.08,-0.018561,0.008064,4700200.0,20010102.0,2932958949.3,2465547976.26
29,2019-01-21,000837,秦川机床,4.31,4.36,4.29,4.34,4.32,-0.01,-0.0023150000000000002,0.009727,5669501.0,24464555.3,2988428622.1,2512177725.22
30,2019-01-18,000837,秦川机床,4.32,4.47,4.31,4.4,4.45,-0.13,-0.029213,0.020866,12162085.0,53194988.53,2995362331.2,2518006443.84
31,2019-01-17,000837,秦川机床,4.45,4.64,4.36,4.52,4.52,-0.07,-0.015486999999999999,0.032902,19177500.0,85565191.0,3085500549.5,2593779785.9
32,2019-01-16,000837,秦川机床,4.52,4.77,4.49,4.68,4.65,-0.13,-0.027957,0.041539,24212010.0,110813676.5,3134036513.2,2634580816.24
33,2019-01-15,000837,秦川机床,4.65,4.8,4.34,4.34,4.38,0.27,0.061644,0.05579799999999999,32523150.0,149966086.35,3224174731.5,2710354158.3
34,2019-01-14,000837,秦川机床,4.38,4.69,4.28,4.28,4.26,0.12,0.028169,0.024916,14522910.0,64379885.88,3036964585.8,2552978755.56
35,2019-01-11,000837,秦川机床,4.26,4.33,4.19,4.32,4.28,-0.02,-0.004673,0.009234,5381950.0,22904444.5,2953760076.6,2483034132.12
36,2019-01-10,000837,秦川机床,4.28,4.29,4.2,4.24,4.19,0.09,0.021480000000000003,0.009704,5655950.0,24001178.5,2967627494.8,2494691569.36
37,2019-01-09,000837,秦川机床,4.19,4.33,4.19,4.21,4.21,-0.02,-0.004751,0.010731999999999998,6255612.0,26532588.28,2905224112.9,2442233101.78
38,2019-01-08,000837,秦川机床,4.21,4.26,4.18,4.24,4.22,-0.01,-0.0023699999999999997,0.007974,4647857.0,19604586.97,2919091531.1,2453890539.02
39,2019-01-07,000837,秦川机床,4.22,4.25,4.12,4.13,4.13,0.09,0.021792,0.010564,6157492.0,25831143.24,2926025240.2,2459719257.64
40,2019-01-04,000837,秦川机床,4.13,4.13,3.97,3.98,4.05,0.08,0.019753,0.008385,4887467.0,19916111.1,2863621858.3,2407260790.06
41,2019-01-03,000837,秦川机床,4.05,4.15,3.95,3.96,3.97,0.08,0.020151,0.007489,4365292.0,17715088.1,2808152185.5,2360631041.1
42,2019-01-02,000837,秦川机床,3.97,3.98,3.93,3.98,3.93,0.04,0.010178,0.002529,1474178.0,5833362.88,2752682512.7,2314001292.14
43,2018-12-28,000837,秦川机床,3.93,4.01,3.93,4.0,3.96,-0.03,-0.007576,0.002932,1709192.0,6770555.16,2724947676.3,2290686417.66
44,2018-12-27,000837,秦川机床,3.96,4.06,3.94,4.06,4.0,-0.04,-0.01,0.004663,2717700.0,10892332.0,2745748803.6,2308172573.52
